id,gender,smoking,smoking_pref,allergy,sleep_time,wake_time,cleaning,temperature,noise_tolerance,study_place,mbti_ei,w_smoking,w_allergy,w_sleep,w_wake,w_cleaning,w_temp,w_noise,w_study,w_mbti
1,M,N,N,none,24,6,1,28,5,room,I,1,1,4,6,1,4,7,5,4
2,M,N,X,none,26,5,2,24,3,library,E,2,3,2,5,5,5,4,1,6
3,M,N,N,dust,23,7,5,27,2,mixed,E,2,4,4,2,4,2,4,6,3
4,M,N,N,none,26,9,1,27,2,mixed,E,3,4,4,9,7,4,5,7,1
5,M,N,N,none,25,6,5,21,4,library,I,3,2,4,6,4,6,9,4,3
6,M,N,N,pet,25,9,1,20,2,mixed,I,6,5,6,5,4,6,9,6,6
7,M,Y,N,none,26,7,4,24,2,library,E,9,6,4,6,3,9,8,3,6
8,M,N,N,none,25,7,0,27,3,library,E,3,3,8,8,4,2,8,1,1
9,M,N,N,pet,26,6,7,26,2,library,I,10,9,7,7,7,5,7,3,4
10,M,N,X,none,24,6,0,27,5,room,E,1,1,7,2,2,1,5,5,2
11,M,N,X,none,25,9,7,21,4,library,E,1,1,7,5,5,8,2,6,6
12,M,Y,Y,none,26,6,3,21,5,library,E,5,3,5,8,2,8,8,1,1
13,M,N,X,none,28,11,3,20,4,library,I,2,4,9,3,1,5,9,7,4
14,M,N,X,dust,23,7,0,27,5,room,I,1,2,6,9,6,2,6,7,2
15,M,Y,X,none,25,11,3,27,5,room,E,4,6,6,6,9,4,7,2,3
16,M,N,N,dust,24,9,1,18,4,mixed,E,2,4,4,9,9,9,5,2,4
17,M,N,N,food,28,10,0,28,5,library,E,9,3,3,3,6,4,6,6,3
18,M,N,N,pet,25,10,0,19,4,library,E,1,8,7,4,7,6,5,1,1
19,M,Y,X,pet,22,7,2,24,2,room,I,3,9,8,8,9,4,4,1,3
20,M,N,X,food,26,11,3,20,2,library,E,2,7,5,9,8,8,8,3,2
21,M,N,N,dust,27,10,3,21,4,library,I,8,8,4,7,5,4,2,7,3
22,M,N,X,dust,26,10,5,18,1,library,E,5,10,4,3,5,7,4,5,5
23,M,Y,N,none,24,9,0,26,5,mixed,E,5,1,9,9,7,7,3,3,5
24,M,N,X,none,25,7,2,21,4,mixed,I,2,5,6,5,8,4,4,7,5
25,M,N,N,dust,25,9,7,20,1,library,I,2,9,4,4,8,3,2,4,5
26,M,N,N,dust,25,9,3,24,4,library,E,3,7,9,8,9,8,4,7,6
27,M,N,N,pet,24,10,7,20,4,mixed,I,9,9,6,7,6,8,6,2,6
28,M,N,X,none,26,10,4,26,4,mixed,E,3,4,2,4,4,5,6,2,2
29,M,N,N,none,23,8,7,24,1,room,I,5,5,9,1,9,6,6,3,3
30,M,N,X,pet,26,8,3,25,2,library,I,4,1,5,7,5,3,5,2,5
31,M,N,X,food,25,5,6,20,4,room,E,3,5,4,5,8,5,7,7,4
32,M,N,N,dust,22,8,5,21,1,mixed,E,7,9,4,1,3,3,7,5,2
33,M,N,N,none,24,8,1,20,3,room,E,9,5,7,10,5,7,2,6,6
34,M,N,N,food,26,9,0,23,5,library,I,2,7,1,5,6,5,5,7,4
35,M,N,X,none,26,11,4,27,5,library,I,4,6,6,5,4,9,4,4,2
36,M,N,X,food,26,7,7,23,2,library,E,3,8,5,9,7,4,1,2,1
37,M,N,X,dust,25,7,7,28,4,library,E,1,4,5,4,7,5,6,3,4
38,M,N,X,none,24,8,4,22,2,room,E,3,1,7,9,7,3,7,3,6
39,M,N,X,food,24,6,3,22,2,library,E,3,1,6,4,10,6,7,2,6
40,M,N,X,none,27,8,7,25,4,library,E,1,3,9,6,8,5,2,6,6
41,M,Y,X,food,27,6,3,19,5,library,E,5,5,9,4,6,5,6,1,5
42,M,N,N,none,25,7,1,20,2,room,E,3,4,5,6,4,4,7,6,4
43,M,Y,X,none,26,9,3,24,1,mixed,E,2,3,8,2,3,4,7,5,3
44,M,N,X,none,26,11,7,25,1,mixed,E,4,6,5,4,2,10,8,5,5
45,M,N,N,food,23,9,7,26,4,library,E,10,5,8,10,6,5,5,1,2
46,M,N,X,none,26,8,0,25,1,library,I,3,1,10,5,6,10,7,5,4
47,M,N,N,pet,25,9,7,18,2,library,E,9,5,7,3,10,6,4,2,3
48,M,N,X,dust,23,12,1,25,1,mixed,E,4,9,4,7,5,6,6,4,5
49,M,Y,X,food,25,10,1,22,4,library,I,1,4,4,6,10,6,3,5,4
50,M,N,X,pet,25,11,3,21,5,library,E,4,1,7,7,8,5,7,7,6
51,M,N,X,none,23,11,5,19,4,room,I,1,6,3,8,10,2,8,3,3
52,M,N,X,none,27,10,6,23,4,mixed,E,5,1,4,7,4,4,2,1,6
53,M,N,N,dust,24,7,0,18,3,room,I,5,5,4,5,7,3,3,5,4
54,M,N,N,dust,27,6,7,28,3,library,I,7,9,5,4,6,2,9,5,3
55,M,N,X,none,25,7,6,25,1,room,I,5,3,6,10,4,10,7,3,1
